ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
2014,D54/D55,Crimes Against Property,Break & Enter-Other,35,11
2014,D54/D55,Crimes Against Property,Fraud,466,137
2014,D54/D55,Crimes Against Property,Other,1127,370
2014,D54/D55,Crimes Against Property,Theft Over $5000,75,25
2014,D54/D55,Crimes Against Property,Theft Under $5000,3054,1043
2014,D54/D55,Crimes Against the Person,Assault,1497,1064
2014,D54/D55,Crimes Against the Person,Attempt Murder,7,6
2014,D54/D55,Crimes Against the Person,Other,509,313
2014,D54/D55,Crimes Against the Person,Robbery-Financial,4,4
2014,D54/D55,Crimes Against the Person,Robbery-Other,267,143
2014,D54/D55,Crimes Against the Person,Sexual Violation,180,115
2014,D54/D55,Criminal Code Traffic ,Other,155,152
2014,D54/D55,Other Criminal Code Violations,Other,868,779
2014,D54/D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,112,105
2014,D54/D55,Other Federal Statute Violations,Other,22,22
2014,NSA,Controlled Drugs and Substances Act,Other,111,94
2014,NSA,Crimes Against Property,Auto Theft,31,10
2014,NSA,Crimes Against Property,Break & Enter-Apartment,1,1
2014,NSA,Crimes Against Property,Break & Enter-Commercial,1,0
2014,NSA,Crimes Against Property,Break & Enter-House,5,5
2014,NSA,Crimes Against Property,Fraud,64,37
2014,NSA,Crimes Against Property,Other,55,30
2014,NSA,Crimes Against Property,Theft Over $5000,4,2
2014,NSA,Crimes Against Property,Theft Under $5000,93,37
2014,NSA,Crimes Against the Person,Assault,83,54
2014,NSA,Crimes Against the Person,Attempt Murder,1,0
2014,NSA,Crimes Against the Person,Other,33,18
2014,NSA,Crimes Against the Person,Robbery-Financial,6,6
2014,NSA,Crimes Against the Person,Robbery-Other,36,26
2014,NSA,Crimes Against the Person,Sexual Violation,81,34
2014,NSA,Criminal Code Traffic ,Other,109,107
2014,NSA,Other Criminal Code Violations,Other,130,123
2014,NSA,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,25,23
2014,NSA,Other Federal Statute Violations,Other,18,18
2015,D11,Controlled Drugs and Substances Act,Other,205,192
2015,D11,Crimes Against Property,Auto Theft,111,18
2015,D11,Crimes Against Property,Break & Enter-Apartment,119,47
2015,D11,Crimes Against Property,Break & Enter-Commercial,74,32
2015,D11,Crimes Against Property,Break & Enter-House,101,44
2015,D11,Crimes Against Property,Break & Enter-Other,14,7
2015,D11,Crimes Against Property,Fraud,284,83
2015,D11,Crimes Against Property,Other,623,204
2015,D11,Crimes Against Property,Theft Over $5000,22,5
2015,D11,Crimes Against Property,Theft Under $5000,1874,817
2015,D11,Crimes Against the Person,Assault,692,521
2015,D11,Crimes Against the Person,Attempt Murder,3,2
2014,D13,Crimes Against the Person,Assault,478,346
2014,D13,Crimes Against the Person,Attempt Murder,4,4
2014,D13,Crimes Against the Person,Other,172,114
2014,D13,Crimes Against the Person,Robbery-Financial,3,0
